Course Name,Folder / Section,Lecture Title,YouTube URL,YouTube Video ID,Google Drive / Notes URL,PDF URL,Other Material URL,Live Class URL,Lock Status,Course ID
সেকেন্ড টাইম 'AIM' ভার্সিটি খ ও বিভাগ পরিবর্তন ইউনিট লাইভ ক্লাস ও এক্সাম কোর্স ২০২৬-২৭,কিভাবে কোর্সটি শেষ হবে ও ক্লাস এবং এক্সাম সিস্টেম দেখুন,লাইভ ও রেকর্ড ক্লাস করার নিয়ম এবং এক্সাম সিস্টেম দেখুন,https://www.youtube.com/watch?v=p8LmiVnknIo,p8LmiVnknIo,,,,,purchased,6a5a31acadc93e04e499bd95
সেকেন্ড টাইম 'AIM' ভার্সিটি খ ও বিভাগ পরিবর্তন ইউনিট লাইভ ক্লাস ও এক্সাম কোর্স ২০২৬-২৭,ওরিয়েন্টেশন ও গাইডলাইন ক্লাস,ওরিয়েন্টেশন ক্লাস,https://www.youtube.com/watch?v=OJOrYi-OPXI,OJOrYi-OPXI,,,,,purchased,6a5a31acadc93e04e499bd95
সেকেন্ড টাইম 'AIM' ভার্সিটি খ ও বিভাগ পরিবর্তন ইউনিট লাইভ ক্লাস ও এক্সাম কোর্স ২০২৬-২৭,লেকচার-০১ টপিক,"English Grammar : Tense, Conditional Sentence, Subjunctive",,,https://drive.google.com/drive/folders/1c4jiCtKMfAg0AxbAF4H_HZVXmE-VM_lG?usp=drive_link,,,https://youtube.com/live/953eZnlTIg4?feature=share,purchased,6a5a31acadc93e04e499bd95
সেকেন্ড টাইম 'AIM' ভার্সিটি খ ও বিভাগ পরিবর্তন ইউনিট লাইভ ক্লাস ও এক্সাম কোর্স ২০২৬-২৭,লেকচার-০১ টপিক,"ব্যাকরণ : ভাষা, ভাষার উৎপত্তি, লিপির উৎপত্তি, ভাষারীতি, ভাষা বিষয়ক গ্রন্থ, শব্দ",https://www.youtube.com/watch?v=VhzvQGWUjsA,VhzvQGWUjsA,https://drive.google.com/drive/folders/1kBFmRY8bCdvUN4DHxkSjUxhZFKIG6fdo?usp=drive_link,,,https://youtube.com/live/VhzvQGWUjsA?feature=share,purchased,6a5a31acadc93e04e499bd95
সেকেন্ড টাইম 'AIM' ভার্সিটি খ ও বিভাগ পরিবর্তন ইউনিট লাইভ ক্লাস ও এক্সাম কোর্স ২০২৬-২৭,লেকচার-০১ টপিক,"বাংলা ১ম পত্র : বাঙ্গালার নব্য লেখকদিগের প্রতি নিবেদন, অপরিচিতা",https://www.youtube.com/watch?v=j8V8R5UkcR0,j8V8R5UkcR0,https://drive.google.com/drive/folders/18yPel5vgmibT6ncm1eQFvgg39cF0Z2zt?usp=drive_link,,,https://youtube.com/live/j8V8R5UkcR0?feature=share,locked,6a5a31acadc93e04e499bd95
সেকেন্ড টাইম 'AIM' ভার্সিটি খ ও বিভাগ পরিবর্তন ইউনিট লাইভ ক্লাস ও এক্সাম কোর্স ২০২৬-২৭,লেকচার-০১ টপিক,English 1st Paper : Unit One: Education and Life,https://www.youtube.com/watch?v=VIkxroK9OIM,VIkxroK9OIM,https://drive.google.com/drive/folders/19yr6m-Tf9vQbhMdVRJZrvTtkytGkbGCE?usp=drive_link,,,https://www.youtube.com/live/VIkxroK9OIM?si=OK0zDS0exI2W8NTB,purchased,6a5a31acadc93e04e499bd95
সেকেন্ড টাইম 'AIM' ভার্সিটি খ ও বিভাগ পরিবর্তন ইউনিট লাইভ ক্লাস ও এক্সাম কোর্স ২০২৬-২৭,লেকচার-০১ টপিক,সাধারণ জ্ঞান : বাংলাদেশের অর্থনীতি,https://www.youtube.com/watch?v=leNz_Cg9Zwg,leNz_Cg9Zwg,https://drive.google.com/drive/folders/1fe77WUmqfx5vVe8ZfY1yu9CjVAVMUOSG?usp=drive_link,,,https://youtube.com/live/leNz_Cg9Zwg?feature=share,purchased,6a5a31acadc93e04e499bd95
সেকেন্ড টাইম 'AIM' ভার্সিটি খ ও বিভাগ পরিবর্তন ইউনিট লাইভ ক্লাস ও এক্সাম কোর্স ২০২৬-২৭,লেকচার-০২ টপিক,"English Grammar : Article, Redundancy, Use of Preposition",https://www.youtube.com/watch?v=DvbTfqjf2m4,DvbTfqjf2m4,https://drive.google.com/drive/folders/1F1l_3XerIUzBnynz4WB9z0P26_GPoiam?usp=drive_link,,,https://youtube.com/live/DvbTfqjf2m4?feature=share,purchased,6a5a31acadc93e04e499bd95
সেকেন্ড টাইম 'AIM' ভার্সিটি খ ও বিভাগ পরিবর্তন ইউনিট লাইভ ক্লাস ও এক্সাম কোর্স ২০২৬-২৭,লেকচার-০২ টপিক,"ব্যাকরণ : ব্যাকরণ ও এর আলোচ্য বিষয়, বর্ণের আভিধানিক ক্রম",https://www.youtube.com/watch?v=qEe9dPHs79U,qEe9dPHs79U,https://drive.google.com/drive/folders/1Cw4kLHBXQLOwLAKJvQfA1Sl40hnlfqyG?usp=drive_link,,,https://youtube.com/live/qEe9dPHs79U?feature=share,purchased,6a5a31acadc93e04e499bd95
সেকেন্ড টাইম 'AIM' ভার্সিটি খ ও বিভাগ পরিবর্তন ইউনিট লাইভ ক্লাস ও এক্সাম কোর্স ২০২৬-২৭,লেকচার-০২ টপিক,"বাংলা ১ম পত্র : সাহিত্যে খেলা, বিলাসী",https://www.youtube.com/watch?v=444V4xv3-Js,444V4xv3-Js,,,,https://youtube.com/live/444V4xv3-Js?feature=share,purchased,6a5a31acadc93e04e499bd95
সেকেন্ড টাইম 'AIM' ভার্সিটি খ ও বিভাগ পরিবর্তন ইউনিট লাইভ ক্লাস ও এক্সাম কোর্স ২০২৬-২৭,লেকচার-০২ টপিক,সাধারণ জ্ঞান : বাংলাদেশের শিল্প ও বাণিজ্য,https://www.youtube.com/watch?v=y71jzOy5_fE,y71jzOy5_fE,https://drive.google.com/drive/folders/1M3UEcHBdqriuBfpf-lDbiWcsHnTHaAfc?usp=drive_link,,,https://youtube.com/live/y71jzOy5_fE?feature=share,purchased,6a5a31acadc93e04e499bd95
সেকেন্ড টাইম 'AIM' ভার্সিটি খ ও বিভাগ পরিবর্তন ইউনিট লাইভ ক্লাস ও এক্সাম কোর্স ২০২৬-২৭,লেকচার-০২ টপিক,English 1st Paper : Unit Two: Art and Craft,https://www.youtube.com/watch?v=S0ltDjcuc0U,S0ltDjcuc0U,,,,,locked,6a5a31acadc93e04e499bd95
সেকেন্ড টাইম 'AIM' ভার্সিটি খ ও বিভাগ পরিবর্তন ইউনিট লাইভ ক্লাস ও এক্সাম কোর্স ২০২৬-২৭,লেকচার-০৩ টপিক,English Grammar : Noun,https://www.youtube.com/watch?v=AdvA3SW9u7g,AdvA3SW9u7g,https://drive.google.com/drive/folders/1TiY-x_PeoKzm6ha6zw53HBVfHbEeR4UP?usp=drive_link,,,https://youtube.com/live/AdvA3SW9u7g?feature=share,purchased,6a5a31acadc93e04e499bd95
সেকেন্ড টাইম 'AIM' ভার্সিটি খ ও বিভাগ পরিবর্তন ইউনিট লাইভ ক্লাস ও এক্সাম কোর্স ২০২৬-২৭,লেকচার-০৩ টপিক,"ব্যাকরণ : ধ্বনি ও বর্ণ, যুক্তবর্ণ ও বর্ণানুক্রম",https://www.youtube.com/watch?v=B-4SLSHFhkc,B-4SLSHFhkc,https://drive.google.com/drive/folders/1_KMnd_2s8V8huiEwgjKNp_OJoaLQuWVi,,,https://youtube.com/live/B-4SLSHFhkc?feature=share,purchased,6a5a31acadc93e04e499bd95
সেকেন্ড টাইম 'AIM' ভার্সিটি খ ও বিভাগ পরিবর্তন ইউনিট লাইভ ক্লাস ও এক্সাম কোর্স ২০২৬-২৭,লেকচার-০৩ টপিক,বাংলা ১ম পত্র : অর্ধাঙ্গী,https://www.youtube.com/watch?v=nUzYWFs2m90,nUzYWFs2m90,,,,,locked,6a5a31acadc93e04e499bd95
সেকেন্ড টাইম 'AIM' ভার্সিটি খ ও বিভাগ পরিবর্তন ইউনিট লাইভ ক্লাস ও এক্সাম কোর্স ২০২৬-২৭,লেকচার-০৩ টপিক,সাধারণ জ্ঞান : বাংলাদেশের সংবিধান,https://www.youtube.com/watch?v=6qPGi5R9ZU4,6qPGi5R9ZU4,https://drive.google.com/drive/folders/1OB41-kKgzvkHeI5umdvtmGs20fsC272F?usp=drive_link,,,https://youtube.com/live/6qPGi5R9ZU4?feature=share,purchased,6a5a31acadc93e04e499bd95
সেকেন্ড টাইম 'AIM' ভার্সিটি খ ও বিভাগ পরিবর্তন ইউনিট লাইভ ক্লাস ও এক্সাম কোর্স ২০২৬-২৭,লেকচার-০৩ টপিক,English 1st Paper : Unit Three: Myths and Literature,https://www.youtube.com/watch?v=wdfmREetnaU,wdfmREetnaU,,,,https://youtube.com/live/wdfmREetnaU?feature=share,locked,6a5a31acadc93e04e499bd95
সেকেন্ড টাইম 'AIM' ভার্সিটি খ ও বিভাগ পরিবর্তন ইউনিট লাইভ ক্লাস ও এক্সাম কোর্স ২০২৬-২৭,লেকচার-০৪ টপিক,"বাংলা ১ম পত্র : জীবন ও বৃক্ষ, গন্তব্য কাবুল",https://www.youtube.com/watch?v=U_lf_3xCxeo,U_lf_3xCxeo,,,,,purchased,6a5a31acadc93e04e499bd95
সেকেন্ড টাইম 'AIM' ভার্সিটি খ ও বিভাগ পরিবর্তন ইউনিট লাইভ ক্লাস ও এক্সাম কোর্স ২০২৬-২৭,লেকচার-০৪ টপিক,"ব্যাকরণ : ধ্বনি উচ্চারণ, ধ্বনি পরিবর্তন",https://www.youtube.com/watch?v=_DGMOgNHpNA,_DGMOgNHpNA,https://drive.google.com/drive/folders/1VQJD-88qju3ziBq3Y_O046YkhbAYyf5z?usp=drive_link,,,https://youtube.com/live/_DGMOgNHpNA?feature=share,purchased,6a5a31acadc93e04e499bd95
সেকেন্ড টাইম 'AIM' ভার্সিটি খ ও বিভাগ পরিবর্তন ইউনিট লাইভ ক্লাস ও এক্সাম কোর্স ২০২৬-২৭,লেকচার-০৪ টপিক,"English Grammar : Number, Gender",https://www.youtube.com/watch?v=eXR8q17Xxa4,eXR8q17Xxa4,https://drive.google.com/drive/folders/1q5qgEKDRWCy3dlPIAFJQ8vuavRpVVp13?usp=drive_link,,,https://youtube.com/live/eXR8q17Xxa4?feature=share,purchased,6a5a31acadc93e04e499bd95
সেকেন্ড টাইম 'AIM' ভার্সিটি খ ও বিভাগ পরিবর্তন ইউনিট লাইভ ক্লাস ও এক্সাম কোর্স ২০২৬-২৭,লেকচার-০৪ টপিক,"সাধারণ জ্ঞান : জনসংখ্যা, আদমশুমারি, জাতিগোষ্ঠী ও উপজাতি, বাংলাদেশের কৃষিজ সম্পদ, জিআই পণ্য",https://www.youtube.com/watch?v=H0JAUC5I1jk,H0JAUC5I1jk,https://drive.google.com/drive/folders/1XsmTgporrrinV9jRATRzUcuhw5vjEzO7?usp=drive_link,,,https://youtube.com/live/H0JAUC5I1jk?feature=share,purchased,6a5a31acadc93e04e499bd95
সেকেন্ড টাইম 'AIM' ভার্সিটি খ ও বিভাগ পরিবর্তন ইউনিট লাইভ ক্লাস ও এক্সাম কোর্স ২০২৬-২৭,লেকচার-০৪ টপিক,English 1st Paper : Unit Four: History,https://www.youtube.com/watch?v=h3Cv2xAb-gA,h3Cv2xAb-gA,,,,https://youtube.com/live/h3Cv2xAb-gA?feature=share,locked,6a5a31acadc93e04e499bd95
সেকেন্ড টাইম 'AIM' ভার্সিটি খ ও বিভাগ পরিবর্তন ইউনিট লাইভ ক্লাস ও এক্সাম কোর্স ২০২৬-২৭,লেকচার-০৫ টপিক,"বাংলা ১ম পত্র : মাসি পিসি, কপিলদাস মুর্মুর শেষ কাজ",https://www.youtube.com/watch?v=Jn_ylywQBjc,Jn_ylywQBjc,https://drive.google.com/file/d/1QIxTUUUWNLPjeSct6rHxESx-VgzgKLQ4/view?usp=drive_link,,,https://youtube.com/live/Jn_ylywQBjc?feature=share,locked,6a5a31acadc93e04e499bd95
সেকেন্ড টাইম 'AIM' ভার্সিটি খ ও বিভাগ পরিবর্তন ইউনিট লাইভ ক্লাস ও এক্সাম কোর্স ২০২৬-২৭,লেকচার-০৫ টপিক,"ব্যাকরণ : ণ-ত্ব ও ষ-ত্ব বিধান, বানান শুদ্ধিকরণ, উপসর্গ-অনুসর্গ",https://www.youtube.com/watch?v=eOs6_LWUTqI,eOs6_LWUTqI,https://drive.google.com/drive/folders/1qsiSfv-RIOB1KWcV-ubJDfp5hVOls5Fi?usp=drive_link,,,https://youtube.com/live/eOs6_LWUTqI?feature=share,purchased,6a5a31acadc93e04e499bd95
সেকেন্ড টাইম 'AIM' ভার্সিটি খ ও বিভাগ পরিবর্তন ইউনিট লাইভ ক্লাস ও এক্সাম কোর্স ২০২৬-২৭,লেকচার-০৫ টপিক,"English Grammar : Pronoun, Adjective, Adverb",https://www.youtube.com/watch?v=W6VDGjct-SA,W6VDGjct-SA,https://drive.google.com/drive/folders/1Aau0J7BvfXe5E6-V_Au7_OkPRrl7vV12?usp=drive_link,,,https://youtube.com/live/W6VDGjct-SA?feature=share,purchased,6a5a31acadc93e04e499bd95
সেকেন্ড টাইম 'AIM' ভার্সিটি খ ও বিভাগ পরিবর্তন ইউনিট লাইভ ক্লাস ও এক্সাম কোর্স ২০২৬-২৭,লেকচার-০৫ টপিক,সাধারণ জ্ঞান : বাংলাদেশের রাজনৈতিক ব্যবস্থা ও সরকার ব্যবস্থা,https://www.youtube.com/watch?v=vGk3U6oxPEk,vGk3U6oxPEk,https://drive.google.com/drive/folders/1YiaJKF9pUxa8pHq3rOVVvamVzHMocx8q?usp=drive_link,,,https://youtube.com/live/vGk3U6oxPEk?feature=share,purchased,6a5a31acadc93e04e499bd95
সেকেন্ড টাইম 'AIM' ভার্সিটি খ ও বিভাগ পরিবর্তন ইউনিট লাইভ ক্লাস ও এক্সাম কোর্স ২০২৬-২৭,লেকচার-০৫ টপিক,English 1st Paper : Unit Five: Human Rights,https://www.youtube.com/watch?v=fAwidglIh1I,fAwidglIh1I,,,,https://youtube.com/live/fAwidglIh1I?feature=share,locked,6a5a31acadc93e04e499bd95
সেকেন্ড টাইম 'AIM' ভার্সিটি খ ও বিভাগ পরিবর্তন ইউনিট লাইভ ক্লাস ও এক্সাম কোর্স ২০২৬-২৭,লেকচার-০৬ টপিক,"বাংলা ১ম পত্র : রেইনকোর্ট, নেকলেস",https://www.youtube.com/watch?v=kLW8F5CvPEA,kLW8F5CvPEA,,,,,locked,6a5a31acadc93e04e499bd95
সেকেন্ড টাইম 'AIM' ভার্সিটি খ ও বিভাগ পরিবর্তন ইউনিট লাইভ ক্লাস ও এক্সাম কোর্স ২০২৬-২৭,লেকচার-০৬ টপিক,"ব্যাকরণ : ধাতু, প্রকৃতি ও প্রত্যয়",https://www.youtube.com/watch?v=9mgmInhRApw,9mgmInhRApw,https://drive.google.com/drive/folders/1ifmeutN4Te14HiLrFAYnXzA2vIu7RwbU?usp=drive_link,,,https://youtube.com/live/9mgmInhRApw?feature=share,purchased,6a5a31acadc93e04e499bd95
সেকেন্ড টাইম 'AIM' ভার্সিটি খ ও বিভাগ পরিবর্তন ইউনিট লাইভ ক্লাস ও এক্সাম কোর্স ২০২৬-২৭,লেকচার-০৬ টপিক,English Grammar : Narration/Speech,https://www.youtube.com/watch?v=FKjXa_chcls,FKjXa_chcls,https://drive.google.com/drive/folders/1z4hiGSxOp7v4mHlSiaGezGpDeZ_652Bf?usp=drive_link,,,https://youtube.com/live/MkECo0IRWU0?feature=share,purchased,6a5a31acadc93e04e499bd95
সেকেন্ড টাইম 'AIM' ভার্সিটি খ ও বিভাগ পরিবর্তন ইউনিট লাইভ ক্লাস ও এক্সাম কোর্স ২০২৬-২৭,লেকচার-০৬ টপিক,"সাধারণ জ্ঞান : বাংলাদেশের জাতীয় অর্জন, বিশিষ্ট ব্যক্তিত্ব, গুরুত্বপূর্ণ প্রতিষ্ঠান, জাতীয় পুরস্কার বাংলাদেশের খেলাধুলাসহ চলচ্চিত্র, গণমাধ্যম- সংশ্লিষ্ট বিষয়াদি",https://www.youtube.com/watch?v=MbCRhyWxJxQ,MbCRhyWxJxQ,https://drive.google.com/drive/folders/1zMhGys3fPAc2NYze6K3P16Xdc8sw5wgf?usp=drive_link,,,,purchased,6a5a31acadc93e04e499bd95
সেকেন্ড টাইম 'AIM' ভার্সিটি খ ও বিভাগ পরিবর্তন ইউনিট লাইভ ক্লাস ও এক্সাম কোর্স ২০২৬-২৭,লেকচার-০৭ টপিক,বাংলা ১ম পত্র : বিভীষণের প্রতি মেঘনাদ,https://www.youtube.com/watch?v=1hCDMoZMpu4,1hCDMoZMpu4,,,,https://youtube.com/live/1hCDMoZMpu4?feature=share,locked,6a5a31acadc93e04e499bd95
সেকেন্ড টাইম 'AIM' ভার্সিটি খ ও বিভাগ পরিবর্তন ইউনিট লাইভ ক্লাস ও এক্সাম কোর্স ২০২৬-২৭,লেকচার-০৭ টপিক,ব্যাকরণ : সমাস,https://www.youtube.com/watch?v=2GHijse4fM8,2GHijse4fM8,https://drive.google.com/drive/folders/1cFJLxRFnJVy5Vjm5Jwr1kg25wke9k-zw,,,https://youtube.com/live/2GHijse4fM8?feature=share,purchased,6a5a31acadc93e04e499bd95
সেকেন্ড টাইম 'AIM' ভার্সিটি খ ও বিভাগ পরিবর্তন ইউনিট লাইভ ক্লাস ও এক্সাম কোর্স ২০২৬-২৭,লেকচার-০৭ টপিক,"English Grammar : Active And Passive Voice, Affirmative & Negative Agreement",https://www.youtube.com/watch?v=-JdeQIclG6s,-JdeQIclG6s,https://drive.google.com/drive/folders/1gWO7Rb-f5BOoV5_g4FuJrwvDAlnoMAJm?usp=drive_link,,,https://youtube.com/live/-JdeQIclG6s?feature=share,purchased,6a5a31acadc93e04e499bd95
সেকেন্ড টাইম 'AIM' ভার্সিটি খ ও বিভাগ পরিবর্তন ইউনিট লাইভ ক্লাস ও এক্সাম কোর্স ২০২৬-২৭,লেকচার-০৭ টপিক,"সাধারণ জ্ঞান : বাংলাদেশের ভৌগোলিক অবস্থান ও সীমানা, ছিটমহল, সমুদ্র বিজয়, বঙ্গোপসাগর, সৌরজগৎ ও মহাকাশ, ভৌগোলিক উপনাম",https://www.youtube.com/watch?v=A0Q9yY8_9fw,A0Q9yY8_9fw,https://drive.google.com/drive/folders/1dhHSwsykn-xGoCQ1NhZMTLIOQrHHmfSt?usp=drive_link,,,https://youtube.com/live/A0Q9yY8_9fw?feature=share,purchased,6a5a31acadc93e04e499bd95
সেকেন্ড টাইম 'AIM' ভার্সিটি খ ও বিভাগ পরিবর্তন ইউনিট লাইভ ক্লাস ও এক্সাম কোর্স ২০২৬-২৭,লেকচার-০৭ টপিক,English 1st Paper : Unit Seven: Youthful Achievers,https://www.youtube.com/watch?v=lTL0girlcu4,lTL0girlcu4,,,,,locked,6a5a31acadc93e04e499bd95
